Semilla,identificacionPersona,tipoPersona,horasCurso,cursoID,docenteID,claseHorario,diaHorario,horasDisponibles,cantidadHorasRestantes,horaInicioHorario,cantidadHorasHorario,alumnoIDSalon,cursoIDSalon,identificacionPersonaPut,horasCursoPut,docentePut,cursoPut,cursoIDPut,claseIDPut,horarioIDPut
76790788600,62431937135,1,3,1,1,1,2,8,4,9,2,179,78,1,3,1,39,77,77,4
70712743122,76947110628,1,1,2,2,2,2,9,3,9,2,134,91,2,1,2,60,53,77,38
8669934308,67102918338,1,3,3,3,3,5,10,2,17,1,140,27,3,3,3,38,53,31,89
36622805537,20600355058,1,3,4,4,4,5,11,1,10,1,126,2,4,3,4,48,50,59,52
20494419425,20868072714,1,3,5,5,5,5,14,4,8,2,141,61,5,3,5,12,81,87,59
62253459794,69951531777,1,3,6,6,6,5,15,3,9,2,126,63,6,3,6,7,77,68,5
87953593040,3516641875,1,1,7,7,7,4,16,2,15,1,72,26,7,1,7,84,6,19,35
41789224465,80373734958,1,3,8,8,8,4,17,1,11,1,145,38,8,3,8,92,33,81,33
67775605568,80472601045,1,1,9,9,9,3,,,10,2,42,84,9,1,9,18,24,35,74
10679568246,57286739941,1,1,10,10,10,2,,,11,1,83,3,10,1,10,87,100,45,9
98116193371,91632676780,1,2,11,11,11,3,,,8,3,118,12,11,2,11,10,33,19,7
57931328187,91246093551,1,3,12,12,12,4,,,14,3,15,75,12,3,12,72,17,27,30
81764166720,99766091835,1,4,13,13,13,2,,,10,1,51,27,13,4,13,74,23,93,80
45217215634,79824823281,1,3,14,14,14,2,,,8,2,159,32,14,3,14,39,95,11,81
23744397829,12634287216,1,2,15,15,15,2,,,16,2,86,51,15,2,15,7,41,16,43
70143311384,77796070834,1,2,16,16,16,2,,,10,1,68,67,16,2,16,44,44,5,15
69954440533,97375537606,1,1,17,17,17,2,,,11,1,126,36,17,1,17,85,71,51,47
67553054868,56950781851,1,2,18,18,18,2,,,15,1,132,27,18,2,18,35,75,99,89
4702705711,31994749952,1,2,19,19,19,2,,,9,3,156,86,19,2,19,86,35,21,2
45069599792,27349930028,1,2,20,20,20,5,,,11,1,117,16,20,2,20,30,17,35,94
78049251630,71117200903,1,2,21,21,21,1,,,15,2,101,83,21,2,21,2,75,100,57
8299304956,57475560023,1,4,22,22,22,2,,,8,3,121,20,22,4,22,69,8,28,37
35252912059,81744450832,1,1,23,23,23,2,,,8,2,80,23,23,1,23,96,100,96,15
88863110100,28774305532,1,4,24,24,24,4,,,9,2,181,27,24,4,24,8,62,29,87
39254416573,40483064209,1,2,25,25,25,1,,,11,1,86,54,25,2,25,19,29,53,22
45922260439,7404478901,1,1,26,26,26,2,,,9,2,155,49,26,1,26,93,16,11,20
17110367553,95545355442,1,3,27,27,27,5,,,16,1,68,50,27,3,27,42,40,13,67
51656288669,13915577468,1,2,28,28,28,1,,,8,4,198,76,28,2,28,29,48,89,50
16197461868,24748550587,1,1,29,29,29,4,,,15,2,86,89,29,1,29,48,44,47,21
85615273353,9238318994,1,4,30,30,30,5,,,17,1,173,17,30,4,30,21,51,66,82
45323222095,59368749194,1,4,31,31,31,1,,,16,1,200,79,31,4,31,100,65,8,2
74072723860,97525526260,1,3,32,32,32,2,,,16,1,183,22,32,3,32,25,48,53,17
59986099412,64285374247,1,2,33,33,33,1,,,9,1,88,30,33,2,33,45,78,91,58
2090305682,15820858479,1,4,34,34,34,3,,,10,2,192,99,34,4,34,53,36,85,84
63462788211,37345225828,1,1,35,35,35,5,,,17,1,13,61,35,1,35,16,52,52,56
61247946183,43916074368,1,1,36,36,36,3,,,9,3,81,78,36,1,36,43,35,42,69
63625850334,16240384076,1,4,37,37,37,4,,,16,1,7,40,37,4,37,67,24,22,58
47859086985,22669083619,1,1,38,38,38,2,,,17,1,44,14,38,1,38,50,12,70,66
97527387365,7500677663,1,4,39,39,39,2,,,8,4,27,38,39,4,39,61,24,80,79
99555992625,23435827909,1,1,40,40,40,1,,,10,2,93,73,40,1,40,96,9,18,50
5471264075,7273437488,1,4,41,41,41,2,,,10,1,150,79,41,4,41,9,21,14,50
16653380092,17252653752,1,1,42,42,42,4,,,9,3,105,17,42,1,42,55,2,100,88
66977251194,95231112271,1,3,43,43,43,4,,,17,1,106,59,43,3,43,73,89,53,98
2464608056,60769194531,1,4,44,44,44,5,,,14,3,93,90,44,4,44,81,81,88,57
62568921573,6101442963,1,4,45,45,45,2,,,9,2,2,90,45,4,45,94,57,20,37
29771757113,51005337404,1,4,46,46,46,2,,,10,1,167,72,46,4,46,70,51,77,82
75500991008,23913179741,1,2,47,47,47,5,,,17,1,44,9,47,2,47,23,49,74,3
82933087234,18069187849,1,4,48,48,48,1,,,16,2,126,25,48,4,48,36,90,94,46
23463080961,86160501005,1,4,49,49,49,5,,,14,1,147,11,49,4,49,10,14,27,18
83015342928,80497472391,1,4,50,50,50,3,,,8,4,79,97,50,4,50,98,4,71,46
4364762641,11141217214,1,1,51,51,51,4,,,15,2,77,68,51,1,51,43,80,37,19
2400670346,781247817,1,2,52,52,52,3,,,8,1,125,23,52,2,52,85,76,74,36
45076212654,85051492179,1,3,53,53,53,5,,,8,1,44,42,53,3,53,5,80,53,22
51231550090,57797300837,1,1,54,54,54,5,,,9,2,198,8,54,1,54,90,99,3,55
66524748272,27269463053,1,3,55,55,55,1,,,8,3,42,29,55,3,55,61,91,39,33
38256673488,21886204407,1,3,56,56,56,5,,,14,4,164,62,56,3,56,66,16,21,48
79758093303,31298549324,1,2,57,57,57,2,,,8,1,167,69,57,2,57,65,40,8,76
98167577350,36944655262,1,3,58,58,58,3,,,9,1,199,85,58,3,58,91,46,35,95
